n|	a		  |	b		   |b(i)-a(i) 	|x1		  |	x2		   |	f1		|		f2
1|3.819660e-01|1.000000e+00|6.180340e-01|6.180034e-01|7.639131e-01|-7.394033e-01|-7.655796e-01
2|6.180034e-01|1.000000e+00|3.819966e-01|7.639131e-01|8.540786e-01|-7.655796e-01|-7.813845e-01
3|7.639131e-01|1.000000e+00|2.360869e-01|8.540786e-01|9.098156e-01|-7.813845e-01|-7.909955e-01
4|8.540786e-01|1.000000e+00|1.459214e-01|9.098156e-01|9.442585e-01|-7.909955e-01|-7.968700e-01
5|9.098156e-01|1.000000e+00|9.018439e-02|9.442585e-01|9.655499e-01|-7.968700e-01|-8.004756e-01
6|9.442585e-01|1.000000e+00|5.574148e-02|9.655499e-01|9.787069e-01|-8.004756e-01|-8.026937e-01
7|9.655499e-01|1.000000e+00|3.445013e-02|9.787069e-01|9.868402e-01|-8.026937e-01|-8.040610e-01
8|9.787069e-01|1.000000e+00|2.129306e-02|9.868402e-01|9.918661e-01|-8.040610e-01|-8.049044e-01
9|9.868402e-01|1.000000e+00|1.315983e-02|9.918661e-01|9.949730e-01|-8.049044e-01|-8.054252e-01
10|9.918661e-01|1.000000e+00|8.133875e-03|9.949730e-01|9.968929e-01|-8.054252e-01|-8.057468e-01
11|9.949730e-01|1.000000e+00|5.027011e-03|9.968929e-01|9.980797e-01|-8.057468e-01|-8.059455e-01
12|9.968929e-01|1.000000e+00|3.107113e-03|9.980797e-01|9.988131e-01|-8.059455e-01|-8.060683e-01
13|9.980797e-01|1.000000e+00|1.920301e-03|9.988131e-01|9.992665e-01|-8.060683e-01|-8.061441e-01
14|9.988131e-01|1.000000e+00|1.186906e-03|9.992665e-01|9.995466e-01|-8.061441e-01|-8.061910e-01
15|9.992665e-01|1.000000e+00|7.335485e-04|9.995466e-01|9.997198e-01|-8.061910e-01|-8.062200e-01
16|9.995466e-01|1.000000e+00|4.533942e-04|9.997198e-01|9.998268e-01|-8.062200e-01|-8.062379e-01
17|9.997198e-01|1.000000e+00|2.802130e-04|9.998268e-01|9.998930e-01|-8.062379e-01|-8.062490e-01
18|9.998268e-01|1.000000e+00|1.731951e-04|9.998930e-01|9.999338e-01|-8.062490e-01|-8.062558e-01
19|9.998930e-01|1.000000e+00|1.070404e-04|9.999338e-01|9.999591e-01|-8.062558e-01|-8.062600e-01
20|9.999338e-01|1.000000e+00|6.615992e-05|9.999591e-01|9.999747e-01|-8.062600e-01|-8.062627e-01
